               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017555,             0.00982,           0.0013323,             0.99024,             0.97831,             0.98759,              0.8347,           0.0097309,           0.0038262,          0.00076041,            0.006535,            0.006535,            0.006535
                  37,            0.017956,           0.0095496,           0.0013852,             0.99113,             0.98138,             0.99004,             0.86156,           0.0086378,           0.0038162,           0.0008348,            0.006436,            0.006436,            0.006436
                  38,            0.017734,           0.0095407,           0.0010689,             0.99339,             0.98675,               0.991,             0.86256,           0.0085981,           0.0037206,          0.00064743,            0.006337,            0.006337,            0.006337
                  39,            0.016314,           0.0095873,            0.001025,             0.98908,             0.98368,             0.98974,             0.86117,           0.0090044,           0.0036877,          0.00077847,            0.006238,            0.006238,            0.006238
                  40,             0.01664,           0.0090399,           0.0012385,             0.98716,             0.98672,             0.99082,             0.87486,           0.0088171,           0.0038029,          0.00065235,            0.006139,            0.006139,            0.006139
                  41,            0.016632,           0.0091323,           0.0011919,              0.9875,             0.98671,             0.98989,             0.87627,           0.0081341,           0.0037334,          0.00075752,             0.00604,             0.00604,             0.00604
                  42,            0.016423,           0.0093078,           0.0009184,             0.98508,             0.98424,             0.99248,              0.8631,           0.0086496,            0.003637,          0.00068219,            0.005941,            0.005941,            0.005941
                  43,            0.017042,           0.0094114,          0.00093426,             0.98949,             0.98628,             0.99017,             0.88016,           0.0078462,           0.0036448,          0.00070687,            0.005842,            0.005842,            0.005842
                  44,            0.017213,            0.009919,           0.0013708,                0.98,             0.98099,             0.99142,             0.85652,           0.0087486,           0.0037798,          0.00065136,            0.005743,            0.005743,            0.005743
                  45,            0.016594,           0.0093498,          0.00093097,             0.98684,             0.98598,             0.98759,              0.8713,           0.0083583,           0.0038081,          0.00066511,            0.005644,            0.005644,            0.005644
                  46,            0.015776,           0.0088596,          0.00089967,             0.98548,             0.98675,             0.98614,             0.84988,           0.0089979,            0.003912,          0.00062906,            0.005545,            0.005545,            0.005545
                  47,             0.01566,           0.0090199,          0.00092333,             0.98914,             0.98584,             0.98877,             0.87007,           0.0083524,           0.0037577,          0.00060826,            0.005446,            0.005446,            0.005446
                  48,            0.015892,           0.0086419,           0.0013755,             0.98591,             0.97843,             0.98897,             0.86826,            0.008235,           0.0036869,          0.00062627,            0.005347,            0.005347,            0.005347
                  49,             0.01571,            0.009066,          0.00083087,             0.98729,             0.98389,             0.98735,              0.8718,            0.008233,           0.0037385,          0.00065486,            0.005248,            0.005248,            0.005248
                  50,            0.015474,           0.0090012,           0.0011692,             0.99207,             0.98112,             0.98797,             0.87394,           0.0079642,           0.0037401,            0.000749,            0.005149,            0.005149,            0.005149
                  51,            0.014998,           0.0087135,           0.0013321,              0.9895,             0.98626,             0.98986,             0.87939,           0.0079205,           0.0036751,           0.0006316,             0.00505,             0.00505,             0.00505
                  52,            0.015211,           0.0084162,          0.00089387,             0.98878,             0.98675,             0.98911,             0.87466,           0.0078749,           0.0036551,          0.00060432,            0.004951,            0.004951,            0.004951
                  53,            0.015127,           0.0087434,          0.00089556,             0.98754,             0.98622,             0.98897,             0.88721,           0.0076409,           0.0035834,          0.00053636,            0.004852,            0.004852,            0.004852
                  54,            0.015045,           0.0090726,          0.00087096,             0.98763,             0.98389,              0.9899,             0.87924,           0.0080264,           0.0036041,          0.00058575,            0.004753,            0.004753,            0.004753
                  55,            0.014923,           0.0086905,           0.0012209,              0.9919,             0.98606,             0.99013,              0.8707,           0.0081145,           0.0035844,           0.0005674,            0.004654,            0.004654,            0.004654
                  56,            0.014758,           0.0085529,          0.00090435,              0.9867,             0.98389,             0.99154,             0.88371,           0.0078659,           0.0035964,          0.00068856,            0.004555,            0.004555,            0.004555
                  57,            0.015098,           0.0088438,          0.00070431,             0.99483,             0.98389,             0.99102,             0.87904,           0.0076177,           0.0035948,          0.00057918,            0.004456,            0.004456,            0.004456
                  58,            0.013859,           0.0082682,          0.00061744,             0.99291,             0.98675,             0.99086,              0.8906,           0.0073463,           0.0035587,          0.00061346,            0.004357,            0.004357,            0.004357
