epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1255.38,0.6132,0.43652,0.98201,0.99491,0.98011,0.99051,0.8925,0.46691,0.28683,0.88237,0.000990365,0.000990365,0.000990365
43,1284.86,0.59751,0.43344,0.97631,0.99593,0.97522,0.99061,0.89113,0.46013,0.2903,0.87578,0.000973861,0.000973861,0.000973861
44,1314.69,0.60007,0.43091,0.98484,0.98809,0.98138,0.98923,0.88805,0.47114,0.29777,0.87296,0.000957358,0.000957358,0.000957358
45,1344.15,0.58709,0.41965,0.96902,0.99504,0.97384,0.99054,0.88832,0.47112,0.28297,0.87237,0.000940855,0.000940855,0.000940855
46,1373.66,0.6011,0.41742,0.98437,0.98993,0.98424,0.98999,0.89621,0.44706,0.27803,0.86162,0.000924352,0.000924352,0.000924352
47,1403.37,0.60127,0.42109,0.9783,0.99136,0.98172,0.98921,0.89127,0.4728,0.27396,0.87402,0.000907848,0.000907848,0.000907848
48,1432.77,0.59751,0.4086,0.97745,0.99087,0.98172,0.98915,0.89558,0.46153,0.29232,0.87285,0.000891345,0.000891345,0.000891345
49,1462.13,0.6013,0.41745,0.98626,0.98848,0.97887,0.98918,0.88922,0.45979,0.27742,0.87651,0.000874842,0.000874842,0.000874842
50,1492.06,0.59144,0.42181,0.97386,0.994,0.97887,0.98951,0.89726,0.44496,0.28027,0.86743,0.000858338,0.000858338,0.000858338
51,1521.58,0.58016,0.39839,0.97499,0.99149,0.9864,0.987,0.89888,0.44507,0.26184,0.86872,0.000841835,0.000841835,0.000841835
52,1551.07,0.58524,0.40093,0.98227,0.99218,0.98138,0.98929,0.89648,0.45581,0.28112,0.86939,0.000825332,0.000825332,0.000825332
53,1580.6,0.59165,0.40217,0.9785,0.98706,0.97887,0.98866,0.90456,0.43306,0.27228,0.86121,0.000808828,0.000808828,0.000808828
54,1610.18,0.56737,0.39893,0.96232,0.99539,0.9779,0.99034,0.89961,0.44567,0.25872,0.86354,0.000792325,0.000792325,0.000792325
55,1640.01,0.56555,0.38787,0.95737,0.99938,0.9802,0.99041,0.90216,0.44292,0.24783,0.8578,0.000775822,0.000775822,0.000775822
56,1669.84,0.57826,0.39313,0.97182,0.98849,0.98234,0.98984,0.9071,0.44253,0.24892,0.86647,0.000759318,0.000759318,0.000759318
57,1699.47,0.56319,0.38634,0.9571,0.99598,0.98389,0.98766,0.89719,0.44701,0.24809,0.86662,0.000742815,0.000742815,0.000742815
58,1729.16,0.55825,0.37608,0.9544,0.99066,0.98709,0.99094,0.90014,0.44745,0.25456,0.86632,0.000726312,0.000726312,0.000726312
59,1758.54,0.57601,0.3742,0.97161,0.99473,0.97887,0.98822,0.89247,0.47669,0.26378,0.88153,0.000709809,0.000709809,0.000709809
60,1788.17,0.56113,0.38507,0.96238,0.99371,0.98406,0.99117,0.89775,0.45096,0.25203,0.86937,0.000693305,0.000693305,0.000693305
61,1817.87,0.56651,0.37445,0.96222,0.99273,0.98389,0.9899,0.90572,0.43773,0.24871,0.86005,0.000676802,0.000676802,0.000676802
62,1847.57,0.54508,0.36616,0.94977,0.98897,0.98138,0.99084,0.90502,0.42728,0.24262,0.85803,0.000660299,0.000660299,0.000660299
63,1877.14,0.56027,0.37864,0.96605,0.99492,0.98318,0.99093,0.9077,0.4584,0.23849,0.87076,0.000643795,0.000643795,0.000643795
64,1906.55,0.54154,0.36385,0.95235,0.99911,0.97921,0.99049,0.9104,0.44429,0.24683,0.86243,0.000627292,0.000627292,0.000627292
65,1936.16,0.55289,0.35912,0.9581,0.9919,0.97668,0.99046,0.91137,0.43382,0.24781,0.8518,0.000610789,0.000610789,0.000610789
66,1965.7,0.54121,0.35431,0.95167,0.99826,0.98389,0.9886,0.91086,0.42471,0.23699,0.85869,0.000594286,0.000594286,0.000594286
67,1995.23,0.54367,0.36917,0.94795,0.99199,0.98389,0.98884,0.90918,0.42142,0.25538,0.86011,0.000577782,0.000577782,0.000577782
68,2024.93,0.54409,0.36622,0.95099,0.99136,0.98895,0.99076,0.90681,0.42533,0.23827,0.85567,0.000561279,0.000561279,0.000561279
69,2054.64,0.52685,0.35306,0.94888,0.99061,0.98359,0.99042,0.91218,0.43783,0.24384,0.86106,0.000544776,0.000544776,0.000544776
70,2084.22,0.53698,0.36055,0.95299,0.99089,0.98489,0.98965,0.90555,0.43782,0.22668,0.86251,0.000528272,0.000528272,0.000528272
71,2113.72,0.53461,0.36354,0.95251,0.99045,0.98675,0.99055,0.91262,0.43697,0.23334,0.86637,0.000511769,0.000511769,0.000511769
72,2143.14,0.5408,0.35214,0.9502,0.99425,0.98675,0.99085,0.91402,0.43019,0.22283,0.86011,0.000495266,0.000495266,0.000495266
73,2172.85,0.55028,0.35188,0.95483,0.99313,0.98675,0.99169,0.91435,0.41592,0.21866,0.85182,0.000478762,0.000478762,0.000478762
74,2202.5,0.52364,0.34348,0.94848,0.98737,0.98675,0.9891,0.91279,0.42489,0.23497,0.85061,0.000462259,0.000462259,0.000462259
75,2231.98,0.52458,0.35381,0.94417,0.99353,0.98675,0.98657,0.90829,0.4287,0.23485,0.86472,0.000445756,0.000445756,0.000445756
76,2261.45,0.53073,0.34111,0.94752,0.99378,0.98675,0.99078,0.91607,0.41386,0.21421,0.86079,0.000429253,0.000429253,0.000429253
77,2291.1,0.51051,0.33672,0.94123,0.99286,0.98675,0.99157,0.91564,0.42007,0.21729,0.85673,0.000412749,0.000412749,0.000412749
78,2320.67,0.51174,0.33249,0.93907,0.9896,0.98654,0.99099,0.91705,0.40842,0.2237,0.85099,0.000396246,0.000396246,0.000396246
79,2350.22,0.51172,0.33139,0.93935,0.99407,0.98389,0.99115,0.92283,0.42518,0.22433,0.86106,0.000379743,0.000379743,0.000379743
80,2380.19,0.50782,0.33422,0.93645,0.99414,0.98674,0.99049,0.91987,0.40456,0.22877,0.84812,0.000363239,0.000363239,0.000363239
81,2409.51,0.51288,0.32881,0.93718,0.99757,0.98175,0.9911,0.92038,0.41523,0.21459,0.8509,0.000346736,0.000346736,0.000346736
82,2438.91,0.51653,0.32678,0.9407,0.99553,0.98182,0.99102,0.924,0.40285,0.21573,0.84947,0.000330233,0.000330233,0.000330233
83,2468.29,0.49912,0.32007,0.93198,0.99647,0.98599,0.9909,0.91696,0.40623,0.21608,0.84664,0.000313729,0.000313729,0.000313729
84,2498.06,0.49765,0.32712,0.93784,0.99832,0.98675,0.99111,0.92179,0.41182,0.21745,0.84953,0.000297226,0.000297226,0.000297226
85,2527.56,0.5038,0.32183,0.93755,0.99688,0.98658,0.99133,0.91958,0.41336,0.21292,0.85491,0.000280723,0.000280723,0.000280723
86,2557.09,0.48835,0.31675,0.93184,0.99519,0.98172,0.99038,0.91952,0.39766,0.21095,0.84385,0.00026422,0.00026422,0.00026422
87,2586.58,0.49329,0.31248,0.93482,0.99094,0.98424,0.99172,0.92133,0.39672,0.20346,0.84219,0.000247716,0.000247716,0.000247716
88,2616.1,0.49102,0.31952,0.93358,0.9956,0.98586,0.99066,0.91956,0.40968,0.20831,0.84832,0.000231213,0.000231213,0.000231213
89,2645.62,0.49887,0.3084,0.93346,0.9907,0.98675,0.9916,0.9238,0.40984,0.20705,0.85479,0.00021471,0.00021471,0.00021471
90,2675.09,0.48413,0.31176,0.92734,0.99593,0.98675,0.99226,0.92539,0.39985,0.20493,0.84586,0.000198206,0.000198206,0.000198206
91,2730.18,0.39758,0.24556,0.88678,0.99708,0.984,0.99137,0.92342,0.40514,0.21208,0.84862,0.000181703,0.000181703,0.000181703
92,2759.22,0.40615,0.2429,0.8905,0.99674,0.98185,0.99129,0.92468,0.40853,0.21128,0.84898,0.0001652,0.0001652,0.0001652
93,2788.62,0.40314,0.24335,0.88806,0.99789,0.98166,0.99197,0.92743,0.39983,0.20748,0.84376,0.000148696,0.000148696,0.000148696
94,2817.83,0.39718,0.23995,0.87924,0.99032,0.98882,0.99195,0.9265,0.4005,0.20425,0.84336,0.000132193,0.000132193,0.000132193
95,2847.05,0.3867,0.23462,0.88626,0.99641,0.98461,0.99204,0.92821,0.39926,0.19912,0.84289,0.00011569,0.00011569,0.00011569
96,2876.18,0.38304,0.23053,0.87905,0.99483,0.99123,0.9922,0.92838,0.39821,0.1992,0.84314,9.91865e-05,9.91865e-05,9.91865e-05
97,2905.51,0.38417,0.22891,0.88312,0.99748,0.98675,0.9923,0.92867,0.40059,0.19863,0.84518,8.26832e-05,8.26832e-05,8.26832e-05
98,2934.98,0.37965,0.22905,0.87515,0.99886,0.98675,0.99217,0.92867,0.39938,0.19913,0.84421,6.61799e-05,6.61799e-05,6.61799e-05
99,2964.04,0.37986,0.22327,0.87819,0.99678,0.98518,0.99215,0.92707,0.3965,0.19582,0.8453,4.96766e-05,4.96766e-05,4.96766e-05
100,2993.42,0.37607,0.22837,0.87806,0.99693,0.98455,0.9921,0.92768,0.39586,0.19356,0.84424,3.31733e-05,3.31733e-05,3.31733e-05
